computer science,c100000
vid music,c117150
hindustani vocal,c117151
kathak dance tabla sugam sangeet,c117152
vocal tabla violin sitar,c117153
tabla praveshika,c117154
special course light music,c117155
prathama i and ii vocal,c117156
instrumental harmonium / sitar / violin,c117157
kathak and choreography,c117158
pakhwaj,c117159
foreign casual course classical vocal,c117160
kovid vocal,c117161
vid kathak dance,c117162
foreign casual course kathakali dance,c117163
vid instru,c117164
rabindra sangit,c117165
taalvadya,c117166
taalvadya prabuddha,c117167
vid tabla,c117168
madyama karnatic vocal,c117169
foreign casual course rabindra sangit,c117170
b dance,c117171
classical vocal,c117172
prathama 12 kathak,c117173
master performing art,c117174
western music,c117175
hindusthani music vocal,c117176
hindusthani vocal,c117177
taalvadya praveshika,c117178
madyama tabla,c117179
gitanjali jnior,c117180
string instruments veena,c117181
painting textile design,c117182
instrumental tabla madhyama,c117183
m mus,c117184
vocal and instrumental,c117185
rabindra sangeet,c117186
metal work,c117187
master art music,c117188
hons violin v and vi semester,c117189
film and theatre,c117190
madhyama violin,c117191
instrumental music miruthamgam thavil,c117192
sangeetika junior and senior,c117193
bachelor art music,c117194
bharatnatyam / katthak,c117195
hons kathak dance iii and iv semester,c117196
hons tabla v and vi semester,c117197
madhyama tabla,c117198
madhyama i and ii vocal,c117199
performing folk arts,c117200
vid percussion,c117201
kathak dance madhyama,c117202
madhyama percussion,c117203
kathakali dance,c117204
prathama kathak dance,c117205
kovid kathak,c117206
satvikabhinayam,c117207
manipuri dance,c117208
dance and music,c117209
kathak dance prathama,c117210
burrakatha,c117211
art drawing and printing,c117212
appied arts,c117213
painting junior,c117214
course plastic arts,c117215
photograophy,c117216
pdva painting,c117217
pratham tabla,c117218
madhyamavocal,c117219
madyama bharathanatyam,c117220
percussion instruments mrudanga,c117221
perini nritya visarada,c117222
kuchipudi and andhranatyam,c117223
madhyama dance,c117224
dance manipuri,c117225
kathak prathama,c117226
prathama i and ii tabla,c117227
kathak kala vid,c117228
bharathanatyam teacher,c117229
kathak madhyama,c117230
swaravadya prabuddha,c117231
prathma dance,c117232
vid i and ii vocal,c117233
swaravadya praveshika,c117234
odishi dance,c117235
chhau,c117236
foreign casual course intabla,c117237
instruments,c117238
dance: bharatanatyam,c117239
bridge course vocal,c117240
prathama bharathanatyam,c117241
course pottery ceramics,c117242
soskills,c117243
indian dance form,c117244
painting is,c117245
art history,c117246
interior,c117247
bhakthi sangeetam,c117248
praveshika violin,c117249
natuvanga kalaimani,c117250
taalvadya parichay,c117251
dance praveshika,c117252
vid i and ii tabla,c117253
sugam sangeet,c117254
phdin music,c117255
prathama vocal,c117256
prathama instru,c117257
traditional science and temple architecture,c117258
multimedia and communication,c117259
performing art bharatnatyam,c117260
history art,c117261
6 months course dying and printing,c117262
yakshaganam,c117263
musiology,c117264
photography and videography,c117265
advertising,c117266
mimicry,c117267
padyanatakam,c117268
classical vocal parichaya,c117269
prathama 12 vocal,c117270
music dance dramatics gamaka sis kannada english hindi sanskrit,c117271
madhyama 12 kathak,c117272
swarvadya,c117273
vid bharathanatyam,c117274
vid bharatnatyam,c117275
painting applied art science print making painting indian style,c117276
h/a,c117277
applied art and advertising,c117278
painting course,c117279
foreign casual course design,c117280
course painting,c117281
fine art higher grade,c117282
praveshika harmonium,c117283
prathima shilpa,c117284
design wood and leather,c117285
video production,c117286
geetanjali senior,c117287
vid dance,c117288
vid 12 kahtak,c117289
dance parichaya,c117290
course advertising design,c117291
commercial arts,c117292
madhyama intru,c117293
embroidery,c117294
classical vocal praveshika,c117295
bridge instrumental harmonium / sitar / violin,c117296
portrait computer and landscape,c117297
m phil music vocal and instrumental,c117298
madhyama kathak dance,c117299
vocal/harmonium/tabla/sitar,c117300
foreign casual course esraj,c117301
computer subject : english hindi/mrathi heritage indian art and culture /optional subject 1 group 1 subject: 1 dance kathak/oddisi/bhartnatyam/ 2 vocal classical music/3 indian classical instrument: sitar/tabla/vaolin/4 drama,c117302
percussion instruments tabala,c117303
pdva science,c117304
applied videography,c117305
mass commnication,c117306
applied art: graphic design,c117307
m/s,c117308
indian and western art and aesthetics,c117309
specialised,c117310
advance fine arts,c117311
