,discipline,discipline_clean
189080,"Acting,Direction,Cinematography,Editing,Sound",acting direction cinematography editing sound
189082,Madhyama I & II Tabla,madhyama i and ii tabla
189083,Prathama I & II Kathak,prathama i and ii kathak
189090,visual art,visual art
189104,"Animation and Content Management (ASAS, Kochi)",animation and content management
189107,B.M.M.,visual arts
189111,applied,applied
189113,Marketing Communication/Advertising/Literary Appreciation/Public Relations/Journalism,marketing computer application relations/journalism
189116,M.F.A,fine arts
189119,Isaikalaimani (II  Year),isaikalaimani ii year
189121,Isaikalaimani,isaikalaimani
189123,B.F.A.-Bachelor of Fine Arts,fine arts
189125,FOLKLORE PERFORMING ARTS,folklore performing arts
189128,Nagaswaram Grade 1 to 8,nagaswaram grade 1to8
189132,A/A,a/a
189133,Foreign Casual Course in Graphic Art,foreign casual course graphic art
189136,DRWING AND PAINTING,drwing and painting
189143,HINDUSTANI VOCAL,hindustani vocal
189149,Prathama-Dance,prathama dance
189155,Prathma - Tabla,prathma tabla
189162,english/bengali,english/bengali
189163,Bachelor of Fine Arts,visual arts
189173,"Plastics Arts, Pottery & Ceramics",plastics art pottery and ceramics
189177,Fine Arts (Animation),fine art animation
189179,BFA New (with Credits) - Distance Education,new with credits distance education
189180,B.Ed.PART-II,part ii
189183,"Painting,print Making Applied Art",painting print making applied art
189184,BMMC,bmmc
189188,performing visual arts,performing visual arts
189189,Instrumental Harmoniuim / Sitar / Violin,instrumental harmoniuim / sitar / violin
189190,Theatre & T.V.,theatre and tv
189196,VID  TABLA,vid tabla
189198,MADHYAMA VOCAL,madhyama vocal
189199,PRATHMA VOCAL,prathma vocal
189203,Indian Theatre,indian theatre
189204,M.Dance,m dance
189205,GEETANJALI SENIOR,geetanjali senior
189211,vastu shastra,vastu shastra
189213,Diploma in Visual Art,visual art
189215,conventional science,conventional science
189216,animation and mutlimedia,animation and mutlimedia
189219,MUTIMEDIA,mutimedia
189221,Beauty Culture,beauty culture
189225,BVA,bva
189228,"Applied Art, Sculpture, Painting",applied art science painting
189233,Hindustani Vocal Music,hindustani vocal music
189234,Applied ARt,applied art
189235,Painting & Applied,painting and applied
189243,Music (Part time),music part time
189246,PERFORMING ART ART,performing art art
189250,Isai Chelvamani,isai chelvamani
189251,Sculpture: Creative Sculpture,science creative science
189254,instument,instument
189255,Music Intrumental,music intrumental
189257,Sitar_Madhyama,sitar madhyama
189268,Kala Madhyama,kala madhyama
189274,Sangeet Shiromani (Karnataka Music),sangeet shiromani karnataka music
189275,M.Music,m music
189277,Music (Vocal & instrument),music vocal and instrument
189281,FOLK DANCE,folk dance
189283,FOLK INSTRUMENTS,folk instruments
189287,B.A. (Hons)  Kathak Dance I & II Semester,hons kathak dance i and ii semester
189292,Sculupture,science
189297,Applied art,applied art
189298,D/P,d/p
189301,3D Animation,3d animation
189306,Diploma in Craft Technology,cratechnology
189307,Applied Art & Visual Communication,applied art and visual communication
189308,visual Art,visual art
189311,MFA DIGITAL GRAPHIC TECHNOLOGY,digital graphic technology
189314,Dance-Prabuddha,dance prabuddha
189322,BFA in Painting,painting
189331,Nattiyakalaimani (II year),nattiyakalaimani ii year
189332,Radio Jockey and Reporting,radio jockey and reporting
189337,Sound Engineering,sound engineering
189340,Music (External),music external
189341,"Eng. , Odia, O.Vocal, H.Vocal, O.Dance , C.Dance, Tabla, O.Pakhwaj, Flute, H.Violin, Sitar, Drama, K.Vocal, K.Violin, K.Veena",eng odia o vocal h vocal o dance c dance tabla o pakhwaj flute h violin sitar drama k vocal k violin k veena
189342,"Vocal,Sitar,Violin",vocal sitar violin
189346,BFA in Animation,animation
189349,"History of Art , Aesthetics, Research methodology, Composition, Painting from life, Mural Painting/ Graphic",history art aesthetics research methodology computer painting from life mural painting/ graphic
189350,Indigenous Art Practices,indigenous art practices
189351,"Painting,Sculpture",painting science
189352,Violin Grade 1 to 8,violin grade 1to8
189358,"Vocal, Sitar,Violin,Tabla,Dance",vocal sitar violin tabla dance
189361,Classical Music,classical music
189363,"B.A.,Music",music
189364,Indian Vocal Music,indian vocal music
189368,Prathama-Music,prathama music
189369,Vocal_Madhyama,vocal madhyama
189373,MFA in Sculpture,science
189376,B.A. (Hons) Kathak Dance V & VI Semester,hons kathak dance v and vi semester
189378,"Instrumental Music (Veena, Violin, Flute, Nadhaswaram )",instrumental music veena violin flute nadhaswaram
189380,Nattuvanga Kalaimani,nattuvanga kalaimani
189386,M.A. - Vocal - I & II Semester,vocal i and ii semester
189387,Prathma - Vocal,prathma vocal
189394,INSTRUMENTAL SITAR VID,instrumental sitar vid
189404,ADVERTISING ART,advertising art
189406,Aopplied arts,aopplied arts
189408,Diploma Course,course
189412,Music & Fine Arts,music and fine arts
189415,PDVA (Applied Arts),pdva applied arts
189417,Nattiyakalaimani,nattiyakalaimani
189422,Tabla_Kala vid,tabla kala vid
189423,Instrumental and vocal,instrumental and vocal
189424,Veena Grade 1 to 8,veena grade 1to8
189434,Master of Finance and Accounting,master finance and accounting
189442,Title of Isaikalaimani - Violin,title isaikalaimani violin
189446,Foreign Casual Course in Sculpture,foreign casual course science
189451,Diploma In Fine Arts,fine arts
189453,VOCAL MUSIC VID,vocal music vid
189465,Prathma-Vocal music,prathma vocal music
189467,"Vocal,Kathak,Tabla,Violin,Sitar",vocal kathak tabla violin sitar
189476,Indian Classical  Music (Singing)  (,indian classical music singing
189482,B.F.A,fine arts
189485,Light Music,light music
189487,INSTRUMENTAL TABLA PRATHAMA,instrumental tabla prathama
189490,Painting_ Advance  Diploma,painting advance
189492,Teacher Training (Indian  Music),teacher training indian music
189494,vid karnatic vocal,vid karnatic vocal
189496,INSTRUMENTAL TABLA VID,instrumental tabla vid
189499,Media  Art,media art
189500,(Vocal),vocal
189504,B.Ed.PART-I,part i
189507,SANGEET KALA PRAVESHIKA - VAADAN,sangeet kala praveshika vaadan
189508,"Vocal,Sitar,Violin,Tabla, Dance",vocal sitar violin tabla dance
189515,Karnatak Music,karnatak music
189516,M.A. - Vocal - III & IV Semester,vocal iii and iv semester
189518,Paiting,paiting
189519,Sculpture & Painting,science and painting
189525,Fine Arts & Visual Arts,fine art and visual arts
189526,"Digital Film Making (ASAS, Kochi)",digital film making
189530,FOLK SONG(VOCAL),folk song vocal
189533,Keyboard Grade 1 to 8,keyboard grade 1to8
189534,MFA in Applied Arts,applied arts
189537,MUS,mus
189543,M.Phill in Music,m phill music
189544,Vocal music,vocal music
189547,BFA in Sculpture,science
189548,"Vocal,Sitar,Violin,Tabla,Dance",vocal sitar violin tabla dance
189551,B.A. ( Hons) - Tabla - III & IV Semester,hons tabla iii and iv semester
189565,Sitar_Praveshika,sitar praveshika
189572,TITLE OF ISAIKALAIMANI-MIRUDANGAM,title isaikalaimani mirudangam
189576,GEETANJALI SENIOR  DIPLOMA,geetanjali senior
189577,"Drawing ,Panting",drawing panting
189579,Thevara Isaikalaimani  (II Year),thevara isaikalaimani ii year
189582,Painting_ Junior  Diploma,painting junior
189584,Flute Grade 1 to 8,flute grade 1to8
189585,Vid - Vocal,vid vocal
189586,Madhyama - Kathak Dance,madhyama kathak dance
189589,history of Arts,history arts
189595,VID VOCAL,vid vocal
189596,Sugam Sangeet,sugam sangeet
189602,"Instrumental Music (Miruthangam, Thavil)",instrumental music miruthangam thavil
189603,VOCAL MUSIC MADHYAMA,vocal music madhyama
189605,Kala Vid,kala vid
189610,DIPLOMA IN MULTIMEDIA AND ANIMATION,multimedia and animation
189611,Vocal Hindusthani,vocal hindusthani
189612,B.A. ( Hons) - Tabla - I & II Semester,hons tabla i and ii semester
189613,Hindustani Music,hindustani music
189617,Vocal & Inst.,vocal and inst
189618,Fine Arts (Interior Design),fine art interior design
189621,Madhyama Tabla,madhyama tabla
189622,Kala Praveshika,kala praveshika
189623,vid tabla,vid tabla
189630,Tabla_Madhyama,tabla madhyama
189633,(Instrumental),instrumental
189635,SANGEET KALA PRAVESHIKA - GAAYAN,sangeet kala praveshika gaayan
189642,Prathma - Kathak Dance,prathma kathak dance
189643,Vocal_Praveshika,vocal praveshika
189646,Sangeetha Visarada,sangeetha visarada
189650,GEETANJALI JUNIOR,geetanjali junior
189651,geetanjali,geetanjali
189652,Kovid - Vocal,kovid vocal
189654,MIRUDANGAM,mirudangam
189656,Music ( Kuralisai ),music kuralisai
189658,M. A. Music,music
189660,Vid-vocal Music,vid vocal music
189664,B.A. (Hons) Violin - I&II Semester,hons violin i and ii semester
189666,INSTRUMENTAL SITAR MADHYAMA,instrumental sitar madhyama
189667,South Indian Music,south indian music
189669,History of arts,history arts
189681,Music-Vocal,music vocal
189692,MASTER IN BHARATHANATIYAM,master bharathanatiyam
189693,Prathama-Vocal Music,prathama vocal music
189694,Prathma - Violin,prathma violin
189695,prathama percussion,prathama percussion
189700,Urdu Kitabat,urdu kitabat
189702,Language Technology,language technology
189706,Chineses,chineses
189715,Advanced Communication Skills,advanced communication skills
189717,communicative skills in English,communicative skills english
189721,LINGUISTICS,linguistics
189727,ADD ON COURSE   ADV DIPLOMA  IN  COMMUNICATIVE ENGLISH,add on course adv communicative english
189732,PRA,pra
189733,Translation &Office proceedings,translation and office proceedings
189755,Language Studies,language studies
189757,Double Degree,double degree
189760,Communication Skills,communication skills
189763,Linguistics & Hindi,linguistics and hindi
189777,Comparative Literature,computer literature
189779,PG Diploma in Translation Studies: Theory and Function,translation studies: theory and function
189781,Telugu Language Literature &Transloation,telugu language literature and transloation
189786,"FRENCH,GERMAN,SPANISH",french german spanish
189788,translation studies,translation studies
189789,TRANSLATION,translation
189790,Vyakarna,vyakarna
189796,CWL,cwl
189807,Communication skills,communication skills
189821,Linquistic,linquistic
189828,Kannada Language,kannada language
189830,Nikalthu Kalaikan,nikalthu kalaikan
189833,SPANISH,spanish
189836,Communicative and Functional English,communicative and functional english
189837,LINGUSTICS,lingustics
189838,Linguistics & Phonetics,linguistics and ph1tics
189847,Add on Course communicative English,add on course communicative english
189856,Post MA Dip. in Linguistics,post dip linguistics
189859,Linguistic,linguistic
189865,Communicate ive English,communicate ive english
189870,CERTIFICATE COUSE IN GERMAN,couse german
189874,Languages and Linguistics,languages and linguistics
189877,ELL,ell
189886,Bhai Vir Singh,bhai vir singh
189887,Literatur,literatur
189890,DIPLOMA IN TRANSLATION,translation
189892,Adv. Dip. in Linguistics,adv dip linguistics
189893,CERTIFICATE COURSE IN CHINESE,course chinese
189895,Literature & Language,literature and language
189902,FUNCTIONAL COMMUNICATIVE ENGLISH,functional communicative english
189903,"GEOGRAPHY,POLTICAL SCIENCE",geography poltical science
189907,Lingustics,lingustics
189915,Ph.D in Urdu,phdin urdu
189920,kannada Literature,kannada literature
189921,Cognitive Sciences,cognitive science
189922,English Liturature,english liturature
189925,Neural and Cognitive Sciences,neural and cognitive science
189928,Creative Writing in English,creative writing english
189929,computational Linguistics,computer linguistics
189939,Prakrit & Jain,prakrit and jain
189943,NATURAL LANGUAGE PROCESSING,natural language processing
189948,Literature in Tamil,literature tamil
189951,Add on Course Communicative English,add on course communicative english
189958,Pechukalai,pechukalai
189962,PG Diploma in Contrastive Linguistics and Tribal Languages,contrastive linguistics and tribal languages
189973,PG Dip,pg dip
189986,Dharmasastra,dharmasastra
189989,Shuklyajurveda,shuklyajurveda
189992,Vedabhashya,vedabhashya
189993,sahitya,sahitya
190002,Dharma Sastra,dharma sastra
190005,Shardhanand Vedic Shodh Sansthan,shardhanand vedic shodh sansthan
190006,UG Diploma in Karma Kanda (Part Time),karma kanda part time
190007,"Vyakaran, Sahitya, Modern Subjects",vyakaran sahitya modern subjects
190010,SAHITYA,sahitya
190012,Navy Vyakaran,navy vyakaran
190015,VEDANT,vedant
190019,Vyakran,vyakran
190022,"Sahitya, Navya Vyakaran, Falit Jyotish",sahitya navya vyakaran falit jyotish
190025,BYAKARAN,byakaran
190027,"Sahitya, Vayakaran, Aadhunik",sahitya vayakaran aadhunik
190028,Sankhya Yoga,sankhya yoga
190033,darshan,darshan
190034,oriental,oriental
190035,Hindi evam Bhasha Vigyan,hindi evam bhasha vigyan
190036,"Sahitya, Vyakaran",sahitya vyakaran
190038,Vedabhashyam,vedabhashyam
190041,veda,veda
190043,Jainology and Comparative Religion & Philosophy,jainology and computer religion and philosophy
190049,"NAVYA VYAKRAN,SAHITYA",navya vyakran sahitya
190051,GRAMMER,grammer
190052,ACHARYA,oriental learning
190053,Dharmashastra & Mimansa,dharmashastra and mimansa
190054,PG Diploma in Hindi Journalism,hindi journalism
190057,VED,ved
190059,Vakaran,vakaran
190060,"VAYAKARANA, VED ,SAHITYA, ASTROLOGY",vayakarana ved sahitya astrology
190061,Sthapathya Ved,sthapathya ved
190064,Navya Vyakaran,navya vyakaran
190065,"Puraneitihas, Sahitya, Vyakaran, Dharmshastra",puraneitihas sahitya vyakaran dharmshastra
